Class,rico:identifier,rico:hasRecordSetType,dcterms:title,dcterms:description,dcterms:dateInterv,dcterms:dateRaw,rico:hasCreatorRef,rico:hasCreatorNotRef,rico:hasReceiverRef,rico:hasReceiverNotRef,rico:hasPublisher,rico:isOrWasIncludedIn,rico:hasOrHadPhysicalLocation,crm:P44_has_condition,SOCIETES-DROP,INSTRUMENTS-DROP,DOC_ECRIT_DROP,rico:documents,dcterms:isVersionOf,rico:isDraftOf,rico:hasOrHadSubject,rico:hasDocumentaryFormType,rico:locationURI,rico:locationOS
rico:RecordSet,PVF1-PVF19,Série d'archives,,Photographies de famille sur plaques de verre,1880/1920,,,,,,,P1-PVF19,,,,,,,,,,,,
rico:RecordSet,PVF1,Sous-série d'archives,,"A. Lumière et ses fils 1. « les Russes » ; « Clichés aux Minous » ; « Clichés à Mimi, Varagnes »",1880/1920,,,,,,,PVF1-PVF19,Salle de classe,,,,,,,,,,,
rico:Record,PVF1/1,,,Photographie de famille sur plaques de verre,1880/1920,,,,,,,PVF1,,"Plaque de verre sèche, gélatino-bromure",,,,,,,,Plaque de verre photographique,,
rico:Record,PVF1/10,,,Photographie de famille sur plaques de verre,1880/1920,,,,,,,PVF1,,"Plaque de verre sèche, gélatino-bromure",,,,,,,,Plaque de verre photographique,,
rico:Record,PVF1/11,,,Photographie de famille sur plaques de verre,1880/1920,,,,,,,PVF1,,"Plaque de verre sèche, gélatino-bromure",,,,,,,,Plaque de verre photographique,,
rico:Record,PVF1/12,,,Photographie de famille sur plaques de verre,1880/1920,,,,,,,PVF1,,"Plaque de verre sèche, gélatino-bromure",,,,,,,,Plaque de verre photographique,,
rico:Record,PVF1/13,,,Photographie de famille sur plaques de verre,1880/1920,,,,,,,PVF1,,"Plaque de verre sèche, gélatino-bromure",,,,,,,,Plaque de verre photographique,,
rico:Record,PVF1/14,,,Photographie de famille sur plaques de verre,1880/1920,,,,,,,PVF1,,"Plaque de verre sèche, gélatino-bromure. Fragment",,,,,,,,Plaque de verre photographique,,
rico:Record,PVF1/15,,,Photographie de famille sur plaques de verre,1880/1920,,,,,,,PVF1,,"Plaque de verre sèche, gélatino-bromure. Fragment",,,,,,,,Plaque de verre photographique,,
rico:Record,PVF1/16,,,Photographie de famille sur plaques de verre,1880/1920,,,,,,,PVF1,,"Plaque de verre sèche, gélatino-bromure. Fragment",,,,,,,,Plaque de verre photographique,,
