rico:hasOrHadPhysicalLocation,rico:isOrWasIncludedIn,dcterms:identifier,dcterms:title,rico:descriptiveNote,schema:fromLocationURI,schema:fromLocationTXT,dcterms:description,crm:P44_has_condition,curation:note,dcterms:dateSubmitted
"Bibliothèque, meuble de gauche (cinquième rang)",25276,S-00483,Granite,"[Étiquette très difficile à lire:] ""St Ogueren Route Chaylard""",,St Ogueren Route Chaylard,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (cinquième rang)",25276,S-00484,Gneiss,"[Étiquette très difficile à lire:] ""Route de Lalouvesc""",,Route de Lalouvesc,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (cinquième rang)",25276,S-00485,Granite,"[Étiquette très difficile à lire:] ""R Chaylard à Mézilhac""",,R Chaylard à Mézilhac,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (cinquième rang)",25276,S-00486,Granite,"[Étiquette très difficile à lire:] ""Mézilhac""",https://sws.geonames.org/2994007/ Mézilhac,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (cinquième rang)",25276,S-00487,Gneiss,"[Étiquette très difficile à lire:] ""Mézilhac""",https://sws.geonames.org/2994007/ Mézilhac,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (cinquième rang)",25276,S-00488,Granite,"[Étiquette très difficile à lire:] ""R Monastique""",,R Monastique,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (cinquième rang)",25276,S-00489,Gneiss,"""Etiquette très difficile à lire""",,,Gneiss ; morceau complémentaire de Mezillac n° 00487,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (cinquième rang)",25276,S-00490,Roche granitique,"""Etiquette très difficile à lire""",,,Roche granitique ; très finement cristallisé,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (cinquième rang)",25276,S-00491,Granite,"[Étiquette très difficile à lire:] ""Route de Lalouvesc""",,Route de Lalouvesc,Granite ; macrocristaux de feldspath,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (cinquième rang)",25276,S-00492,Granite,"[Étiquette très difficile à lire:] ""Mézilhac""",https://sws.geonames.org/2994007/ Mézilhac,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de gauche (cinquième rang)",25276,S-00493,Gneiss,"[Étiquette très difficile à lire:] ""R Chaylard à Mézilhac""",,R Chaylard à Mézilhac,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (vitrine)",25276,S-00494,Gypse,,,,Gypse ; beaucoup de petits cristaux transparents qui descendent dans les cases immédiament au-dessous,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (vitrine)",25273,S-00495,Plomb lammelle aglomère avec l’antimoine [spécimen manquant],"""Plomb lammelle aglomère avec l’antimoine (près des Eaux-bonnes)""",,Près des Eaux-Bonnes,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (vitrine)",25276,S-00496,Fossile d’ammonite,,,,Ammonite fossilisée ; peut-être remplacement par jaspe,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (vitrine)",25276,S-00497,Fossile d’ammonite,"""Amm. Jason (Oxford)""",,Oxford,"Fossile ; très bien préservé, peut-être remplacement par jaspe",,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (vitrine)",,S-00498,[spécimen détruit],,,,Une ou plusieurs ammonites ou roches calcaires attaquées par l’humidité,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (vitrine)",25273,S-00499,Andésite porphyre,"""Feldspath calcaire (Pic du Midi)""",,Pic du Midi,Etiquette erronnée,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (vitrine)",25276,S-00500,Fossiles d’ammonite,"""Amm. Galensis (Leas)""",,Leas,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (vitrine)",25276,S-00501,Stibine,"""75""",,,"Stibine ; cristaux allongés, éclat métallique, légèrement tordus",,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (vitrine)",,S-00502,[spécimen détruit],,,,Une ou plusieurs ammonites ou roches calcaires attaquées par l’humidité,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (vitrine)",25276,S-00503,Fossile d’ammonite,"""Amm. Biplex (Oxford)""",,Oxford,Ammonite fossilisée ; peut-être remplacement par jaspe,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (vitrine)",25276,S-00504,Concrétion calcaire,,,,Concrétion calcaire ; forme de bonnehomme de neige,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (vitrine)",25273,S-00505,Corsérénite,"""Corsérénite blanche (près de Bagners)""",,Près de Bagners,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (vitrine)",25273,S-00506,Amphibole,"""Amphibole rayonné (de Gèdre)""",https://sws.geonames.org/3016436/ Gèdre,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (vitrine)",25273,S-00507,Radonite,"""Radonite (Vallée d’Aure)""",,Vallée d’Aure,Radonite ; rose avec des couches fines plus transparents/brillants,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (vitrine)",25273,S-00508,Ladiorite,"""Ladiorite (Oloron)""",,Oloron,Ladiorite ; cristaux allongés avec éclats métaliques – submétalliques,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (vitrine)",25276,S-00509,Fossile d’ammonite,,,,Fossile ; de grande taille ; bien préservé ; peut-être remplacement par jaspe,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (vitrine)",25273,S-00510,Fluorine,"""Aspath fuor (Pic d’Aguillous)""",,Pic d’Aguillous,Peut-être étiquette érronée ; peut-être plutôt « spath fluor » (i.e. fluorine),,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (vitrine)",25276,S-00511,Fossile d’ammonite,"""Amm. Sticatelis (Oxford)""",,Oxford,Ammonite fossilisée ; peut-être remplacement par jaspe,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (vitrine)",25276,S-00512,Hématite,"""Ox[illisible] fer [illisible] Luc[illisible]""",,,Etiquette probablement « oxyde fe fer »,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (vitrine)",25273,S-00513,Limonite,"""Limonite en gros critaux epigène (d’Agos)""",https://sws.geonames.org/3038584/ Agos,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (vitrine)",25276,S-00514,Quartz,,,,6 petits cristaux de quartz (var : « cristal de roche »),,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (vitrine)",25276,S-00514,Coquille fossilisée,,,,Fossiles spiraloforme dans roche calcaire,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (vitrine)",25273,S-00516,Andolocite,"""Andolocite Lac-bleu""",,Lac-bleu,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (vitrine)",25273,S-00517,Arsénopyrite,"""Fer Arsinate de l’Alliège""",,Alliège,Tout petit spécimen dans de la poudre ; peut-être altéré ou abîmé,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (vitrine)",25273,S-00518,Orthoclase,"""Feldspathorthoze (St-Beath)""",,St-Beath,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (vitrine)",25273,S-00519,Schiste à biotite et amphibole,"""Mica mélé avec l’amphibole (Gèdre)""",https://sws.geonames.org/3016436/ Gèdre,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (vitrine)",25273,S-00520,Biotite,"""Mica lamellé mélé avec la coirsite (Pic de Barèges)""",,Pic de Barèges,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (premier rang)",25276,S-00521,Schiste à muscovite,,,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (premier rang)",25276,S-00522,[Limonite sur baryte ?],,,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (premier rang)",25276,S-00523,Schiste,,,,Schiste/ardoise,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (premier rang)",25276,S-00524,Calcite,,,,Calcite ; Incolore transparente ; rhomboédrique,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (premier rang)",25276,S-00525,Scorie,,,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (premier rang)",25273,S-00526,Idocrase,"""Idocrase bacilaire en Cristaux groupes (Arviron.)""",,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (premier rang)",25276,S-00527,Gabbro,,,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (premier rang)",25276,S-00528,Travertin,,,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (premier rang)",25276,S-00529,Fluorine,,,,Fluorine ,Fortement empoussiéré,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (premier rang)",25276,S-00530,Quartz,,,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (premier rang)",25276,S-00531,"Quartz, fluorine et barytine",,,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (second rang)",25276,S-00532,Barytine et pyrite,,,,Pyrite en microcristaux,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (second rang)",25276,S-00533,Quartz,,,,Quartz ,Fortement empoussiéré,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (second rang)",25276,S-00534,"Barytine, pyrite et quartz",,,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (second rang)",25276,S-00535,Roche sédimentaire,,,,Roche sédimentaire ; cristaux automorphes de quartz et feuillets de biotite,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (second rang)",25276,S-00536,Amiante ou epsomite sur calcite,,,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (second rang)",25276,S-00537,Quartz hématisé,,,,Quartz hématisé ; cristaux de quartz de petite taille,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (second rang)",25276,S-00538,Quartz,,,,Tapissage de cristaux de quartz,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (second rang)",25276,S-00539,Quartz,,,,Tapissage de cristaux de quartz,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (second rang)",25272,S-00540,Fer oligiste [spécimen manquant],"""N° 71 Fer Fer oligiste St Gothard""",,St Gothard,Même Boite 71 et 53,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (second rang)",25272,S-00541,Belemnitella Mucronota D'Orb [spécimen manquant],"""N° 53 Belemnitella Mucronota D'Orb Meudan""",https://sws.geonames.org/2994144/ Meudon,,Même Boite 71 et 53,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (second rang)",25272,S-00542,Silicates anhydres Idocrase [spécimen manquant],"""N° 30 Silicates anhydres Idocrase Vésuve""",https://sws.geonames.org/3164481/ Vésuve,,Spécimen manquant,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (second rang)",25272,S-00543,Calcaire saccharoïde [spécimen manquant],"""N° 44 Calcaire saccharoïde Italie""",https://sws.geonames.org/3175395/ Italie,,Spécimen manquant,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (second rang)",25276,S-00544,Rostre de belemnite,,,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (second rang)",25276,S-00545,Gneiss,,,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (second rang)",25276,S-00546,Amphibole,,,,Cristaux d'amphiboles désordonnés,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (second rang)",25276,S-00547,Calcite et pyrite,,,,Calcite et pyrite ; commence à s'altérer à cause de l'humidité,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (second rang)",25276,S-00548,Baryte,,,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (second rang)",25276,S-00549,Quartz,,,,"Quartz (var : ""hyalin"" ou ""cristal de roche"") ; jolis cristaux",,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (second rang)",25276,S-00550,Gypse,,,,"Gypse en forme de ""corne de bélier""",,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (second rang)",25276,S-00551,Granite,,,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (second rang)",25276,S-00552,Calcite,,,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (second rang)",25276,S-00553,Muscovite,,,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (second rang)",25276,S-00554,Muscovite,,,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (second rang)",25276,S-00555,Talc,,,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (second rang)",25276,S-00556,Calcite et gypse,,,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (second rang)",25276,S-00557,Quartz géodique avec pyrite,,,,Quartz et pyrite ; Peut-être aussi du galène,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (second rang)",25276,S-00558,Calcite,,,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (second rang)",25276,S-00559,Quartz et calcite,,,,2 morceaux de quartz ; 4 morceaux de calcite,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (second rang)",25276,S-00560,Quartz,,,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (second rang)",25276,S-00561,[Quartz ou gypse ?],,,,[Quartz ou gypse ?] ,Fortement empoussiéré,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (second rang)",25276,S-00562,Quartz et gypse fibreux,,,,Quartz et gypse fibreux ; petits spécimens,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (second rang)",25276,S-00563,Quartz et calcédoine,,,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (second rang)",25276,S-00564,Gypse,,,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (second rang)",25276,S-00565,Fossile,,,,[Rostre de belemnite ou fossile de dent ?] ; identifié Avec le numéro 53,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (second rang)",25276,S-00566,Muscovite,,,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (second rang)",25276,S-00567,Fossile,,,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (second rang)",25276,S-00568,Grès,,,,Galet de grès gris,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (second rang)",25276,S-00569,Schiste ardoisier,,,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (second rang)",25276,S-00570,Baryte,"""Cl de Baryte""",,,Baryte ; notation à même le morceaux,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (second rang)",25276,S-00571,Pyrite,,,,Pyrite ; en cours de décomposition,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (troisième rang)",25276,S-00572,Calcédoine,,,,Calcédoine ; arrondi par érosion+altération,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (troisième rang)",25276,S-00573,Roche sédimentaire silicieuse,,,,Roche sédimentaire siliceuse ; couleur gris foncé ; [Silex ?],,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (troisième rang)",25276,S-00574,Chaille,,,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (troisième rang)",25276,S-00575,Galet avec veines de quartz,,,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (troisième rang)",25276,S-00576,Silex,,,,Silex ; arrondi,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (troisième rang)",25276,S-00577,Quartz,,,,Quartz ; roche blanche,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (troisième rang)",25276,S-00578,Roche blanche,,,,Cassures très angulaires,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (troisième rang)",25276,S-00579,Marne,,,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (troisième rang)",25276,S-00580,Calcaire,,,,Calcaire ; probablement scié ou taillé,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (troisième rang)",25276,S-00581,Calcaire,,,,Calcaire [oolithique ?] ; couleur verdâtre,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (troisième rang)",25276,S-00582,Schiste ardoisier,,,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (troisième rang)",25276,S-00583,Schiste,,,,Schiste ; arrondi et altéré,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (troisième rang)",25276,S-00584,Calcédoine,,,,Calcédoine ; spéciment arrondi,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (troisième rang)",25276,S-00585,Silex et calcédoine hématisé,,,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (troisième rang)",25276,S-00586,Quartz,,,,Quartz ; 3 morceaux de couleur différentes mais très arrondis,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (troisième rang)",25276,S-00587,Silex,,,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (troisième rang)",25276,S-00588,Silex et calcédoine,,,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (troisième rang)",25276,S-00589,Grès,,,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (troisième rang)",25276,S-00590,Grès,,,,Grès ; à grains moyens verdâtres et altération orangée ; possible congglomérat ou roche de remobilisation,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (troisième rang)",25276,S-00591,"[Cordiérite ou marbre ""griotte"" ?]",,,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (troisième rang)",25276,S-00592,Roche sédimentaire à cristaux de quartz,,,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (troisième rang)",25276,S-00593,Grès fossilifère,,,,Grès fossilifère ; accumulation de petits cristaux de quartz avec restes de coquilles fossilisées,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (troisième rang)",25276,S-00594,Calcaire à nummulites,,,,Calcaire à nummulites ; 2 morceaux,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (troisième rang)",25276,S-00595,Quartzite,,,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (troisième rang)",25276,S-00596,Roche géodique à cristaux de quartz,,,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (troisième rang)",25276,S-00597,Granite,,,,Granite ; couleur rosée à rouge ; 2 morceaux,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (troisième rang)",25276,S-00598,Granite,,,,Un gros morceau de granite et deux morceaux avec du quartz,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (troisième rang)",25276,S-00599,[Grès ou calcaire gréseux ?],,,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (troisième rang)",25276,S-00600,Calcaire cristallin,,,,Calcaire cristallin ; couleur gris sombre,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (troisième rang)",25276,S-00601,[Jais ?],,,,"Grès, schiste, veine de quartz",,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (troisième rang)",25276,S-00602,Schiste,,,,Schiste avec quartz et muscovite,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (troisième rang)",25276,S-00603,Gneiss,,,,Gneiss ; riche en biotite,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (troisième rang)",25276,S-00604,[Granite ; pegmatite ou leucogneiss ?],,,,[Granite ; pegmatite ou leucogneiss ?] ; riche en quartz et muscovite ; second morceau plus petit mais plus riche en muscovite [pegmatite micassée ?],,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (troisième rang)",25276,S-00605,Calcédoine,,,,Calcédoine ; texture globulaire à l'intérieur du galet,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (troisième rang)",25276,S-00606,Grès grossier,,,,Grès grossier ; couleur beige tâcheté marron foncé,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (troisième rang)",25276,S-00607,Quartzite,,,,Quartzite ; couleur rouge,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (troisième rang)",25276,S-00608,Roche sédimentaire silicieuse,,,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (troisième rang)",25276,S-00609,Granite,,,,Granite ; deux morceau de couleur et taille de cristaux différents ; un morceau sombre à petits minéraux ; second morceau très claire et riche en muscovite [gneiss ?],,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (troisième rang)",25276,S-00610,Congglomérat,,,,Congglomérat ; [poudingue ou brèche ?],,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (troisième rang)",25276,S-00611,Granite,,,,Granite ; très beau spécimen,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (troisième rang)",25276,S-00612,Roche claire,,,,Roche claire ; riche en quartz ; zones marrons (probablement biotite/muscovite) en décomposition ; [voire gneiss ou pegmatite micassée ?],,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (troisième rang)",25276,S-00613,Granite,,,,Granite ; 2 morceaux similaires,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (troisième rang)",25276,S-00614,Marne,,,,Marne ; très claire ; avec empreintes,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (troisième rang)",25276,S-00615,Granite porphyrique,,,,Granite ; cristaux probablement de feldspath,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (troisième rang)",25276,S-00616,Chrysotile,,,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (troisième rang)",25276,S-00617,Galet de grès,,,,Galet de grès rouge avec veines de quartz,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (troisième rang)",25276,S-00618,Galet de grès,,,,Galet de grès gris foncé avec veines de quartz,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (troisième rang)",25276,S-00619,Roche très sombre,,,,Roche sombre ; finement cristallisée ; [Andésite ou roche métamorphique ?],,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (troisième rang)",25276,S-00620,Gneiss et silex,,,,Gneiss et Silex ; un morceau de chaque,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (troisième rang)",25276,S-00621,Roche siliceuse,,,,Roche siliceuse ; couleur rose,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (troisième rang)",25276,S-00622,Basalte scoriacé et basalte très altéré,,,,Basalte scoriacé et basalte très altéré ; un morceau de chaque,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (troisième rang)",25276,S-00623,[Grès ou quartzite ?],,,,[Grès ou quartzite ?] ; couleur gris rosé,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (troisième rang)",25276,S-00624,Roche volcanique,,,,Roche volcanique ; couleur gris clair ; phénocristaux de plagioclase,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (troisième rang)",25276,S-00625,Roche volcanique,,,,"Roche volcanique sombre ; phénocristaux de quartz, de feldspath et de pyroxène [ou ambhibole ?]",,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (troisième rang)",25276,S-00626,Granite,,,,Granite ; cristaux de feldspath roses ; très joli spécimen,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (troisième rang)",25276,S-00627,Schiste à grenat,,,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (troisième rang)",25276,S-00628,Roche volcanique,,,,Lave rouge ; phenocristaux de feldspath ; couleur orangée due à une légère altération,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (troisième rang)",25276,S-00629,Diorite,,,,Diorite ; couleur gris ; avec phenocristaux,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (troisième rang)",25276,S-00630,Granite à macrocristaux,,,,Granite à macrocristaux ; très ressemblant au spéciment n°00611,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (troisième rang)",25276,S-00631,Micaschiste,,,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (troisième rang)",25276,S-00632,Roche sombre en contact avec granite,,,,Roche sombre en contact avec granite ; joli contacte entre deux roches différents,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (troisième rang)",25276,S-00633,Basalte et diorite ou gabbro,,,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (troisième rang)",25276,S-00634,Basalte ; basalte avec pyrite ; gabbro,,,,Trois spécimens; un basalte massif noir ; un basalte recouverte par de la pyrite ; un gabbro,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (troisième rang)",25276,S-00635,Schiste argileux avec filon métallifère et roche sombre très altéré,,,,2 morceaux ; un schiste argileux avec filon métallifère et probablement de la pyrite [ou arsénopyrite ?] ; une roche sombre est verdâtre finement cristallisée et très altérée,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (troisième rang)",25276,S-00636,Schiste argileux,,,,Schiste argileux ; couleur gris foncé rosé,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (troisième rang)",25276,S-00637,Pyrite recouvrant roche sombre et basalte noire,,,,2 morceaux ; une roche sombre [basalte ?] recouverte de pyrite ; un basalte noir ,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (troisième rang)",25276,S-00638,Calcite et basalte,,,,2 morceaux ; un basalte vésiculé ; un morceau de calcite,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (troisième rang)",25276,S-00639,Basalte,,,,Basalte ; spécimen variablement altérée,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (troisième rang)",25276,S-00640,Scories,,,,Scories ; 2 spécimens de forme arrondie mais de différentes couleurs ; un spécimen rougeâtre ; un spécimen gris foncé,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (troisième rang)",25276,S-00641,Scorie,,,,Scorie ; arrondie ; couleur blanchâtre,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (troisième rang)",25276,S-00642,Quartz,,,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (troisième rang)",25276,S-00643,Basalte,,,,Galet cassé avec zone d'altération vers l'extérieur,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (troisième rang)",25276,S-00644 (1),Restes d'une roche sombre,,,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (troisième rang)",25276,S-00644 (2),Restes de pyrite et agglomération de coquilles fossilisées,,,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (quatrième rang)",25276,S-00645,Hématite,,,,[Hématite ou basalte ferrugineux ?],,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (quatrième rang)",25276,S-00646,Hématite,,,,[Hématite ; grès marneux ou schiste argileux riche en fer ?],,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (quatrième rang)",25276,S-00647,Hématite,,,,[Hématite ou basalte ferrugineux ?],,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (quatrième rang)",25276,S-00648,Hématite,,,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (quatrième rang)",25276,S-00649,Scorie industrielle,,,,Scorie industrielle ; dense et très iridescente,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (quatrième rang)",25276,S-00650,Hématite,,,,,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (quatrième rang)",25276,S-00651,Scorie industrielle,,,,Scorie industrielle ; vésiculée mais dense ; couleur noire,,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (quatrième rang)",25276,S-00652,Roche noire argileuse,,,,Peut aussi être un roche artificielle (crée par l'homme),,,2021-12-15/2021-12-16
"Bibliothèque, meuble de droite (quatrième rang)",25276,S-00653,Schiste argileux,,,,Schiste argileux ; couleur noire,,,2021-12-15/2021-12-16
